2	D_PREP_COLLOC
3	D_WORDFORM
-1	D_WORDFORM
-1	D_UNDERLINE
0	_
-1	D_CASE_NUMBER
0	В_мн
1	И_мн
2	Р_ед
3	Р_мн
4	Т_мн
-1	D_VP_SPECIF
0	буд
1	дпр
2	инф
3	личн
4	наст
5	прош
6	прч
-1	D_PHR_SPECIF
0	D_CASE
1	D_CASE_MUA
2	D_CASE_NUMBER
3	D_CASE_POS
4	D_GRAFEM_DESC
5	D_GROUPS
6	D_PART_OF_SPEECH
7	D_VP_SPECIF
-1	D_SYN_FUNCT
0	D_GROUPS
1	D_SYN_REL
-1	D_GF_MAIN
0	ВВОДН:--
1	ГЛ:ГГ
2	МЕСТОИМ:с_опр
3	НАР:ОБСТ_ГР
4	НАР:нар_опр
5	ПОДЧ_СОЮЗ:--
6	ПРЕДК:ГГ
7	ПРЕДЛ:--
8	ПРИЛ:ТЕКСТ
9	ПРИЛ:с_опр
10	ПРИЧ:с_опр
11	СОЧ_СОЮЗ:--
12	СОЮЗ:--
13	СУЩ:ИГ
14	ЧАСТ:--
-1	D_CASE_PLUS
0	D_CASE
1	D_CASE_MUA
2	D_CASE_NUMBER
3	D_CASE_POS
-1	D_TYPE
0	ЛЕ
-1	D_EXCL_MARK
0	!
-1	D_RLE_PLUS
-1	D_MUA
0	МНА
-1	D_CONJ_PLUS
0	D_CONJ
1	D_GRAFEM_DESC
-1	D_CASE_MUA
0	МНА_В_и
1	МНА_И_ДЕФ
2	МНА_Р_и
3	МНА_Т_и
-1	D_CASE_POS
0	Т_ПРИЛ
-1	D_EXM
0	его рассказ о путешествии
1	растворитель  646
2	растворитель краски
3	словарная статья для прилагательного
4	словарная статья для существительного
-1	D_CONDIT
-1	D_INFERENCE
-1	D_SLASH
0	\
-1	D_SYN_ACTANTS
0	а1
1	а1+с
2	а2
3	а2+с
4	с
5	с+а1
6	с+а2
-1	D_POSITION
0	<
1	<<
2	>
3	>>
-1	D_GRAMMEMS
0	вн
1	дт
2	ед
3	жр
4	им
5	мн
6	мр
7	пр
8	рд
9	ср
10	тв
-1	D_TITLE
0	#STAT
1	#ГОС
2	Земля
3	дело
4	суд
-1	D_INTEGER
